스킬명	attribute	upgradable	check_range	target	range	requirement	condition	other_condition	arg1	arg2	arg3	arg4	arg_string	melee_attack	magic_attack	count	special_status	special_status_arg	move_pos	update_factor	reflect_melee_attack	reflect_magic_attack	reflect_heroic_attack	defense_melee_attack	defense_magic_attack	magic_resist_level_up	dispel_magic	transform_target	life_protection	dot	infect_around	add_spellcount	dmg_adjust	skill_factor_adjust	update_combat_point	regen_hp	convert_type	charge	skill_levelup	product	twice_packet	auto_attack	dynamic_target	action_on_action	at_field	summons	action_passive	duration_type	limited_max_level	release_target	visible_effect_type	game_bonus	item_use_type	cash	level_diff_type	detect	ride	game_effect	force	divide	resurrection	skill_union	target_restriction	disturb
엘레멘탈 리쥬베네이션	9	1	2	111	501	14											5001			10																																												
엘레멘탈 텐타클	21	1	1	1	1404	1	1000							101			20			10																					2																							10
스펙트럴 스톰	21	1	1	1	1304	1	1000							101			21			10																					2																							11
아이언 프로텍터	10	1	2	111	303	1											0	23;24		10							64														2																							1002
프리즈마틱 체인	21	1	1	1	1404	1	1000							101			23			10																					2																							
앱솔루트 테리토리	10	1	1	100	1	1			2											10																					2			3																				
앱솔루트 테리토리<추가효과>	20	1	1	1	202	1	2000							101						116										10003																							1											
와딩 슬레이어	9	1	2	111	1	17														10																																												
브릴리언트 배라지	1	1	1	1	2	1								101																											1																							
파워풀 라이트	10	1	2	110	1	1														10																					2																							
딜레이드 블로우	1	1	1	1	304	1								101																											1																							
룰 오브 슬레이어	9	1	2	111	1	17														10																																												
펀치 오브 쉬링킹	21	1	1	1	2	1	1000							101			25			10																					2																							2
데이라이트 스마이트	21	1	1	1	1404	1	1000							101			21			10																					2																							11
핸드 오브 저스티스	10	1	2	111	303	1											0	21;23		10							64														2																							1011
리스트레인트 스트라이크	21	1	1	1	304	1	1000							101			20			10																					2																							10
첼린지 더 저스티스	10	1	2	100	1	1														10																					2																							
파든 오브 바이스	9	1	2	111	1	18														10																																												
파이어리 샷	1	1	1	1	1304	1								101																											1																							
드래곤즈  분	40	1	2	111	303	1											0	20;22		10							64														2																							1015
브랜드 오브 크라임	1	1	1	1	1404	1								101																											1																							
퍼니쉬 크라임	9	1	2	111	1	18														10																																												
리사운딩 디스트로이어	21	1	1	1	1304	1	1000							101			20			10																					2																							10
라이트닝 프렌지 어설트	21	1	1	1	1304	1	1000							101			24			10																					2																							2
엘레멘탈 레스큐	10	1	2	100	303	1											5001			10																					2																							
위더링 나이트 샷	21	1	1	1	1404	1	1000							101			25			10																					2																							2
리포즈 오브 빅팀	21	1	1	1	2	1			2					103						10										10003		1									2																							
스케일 프로텍션	9	1	2	111	1	17														10																																												
아이언 클로 붐	1	1	1	1	304	17								101																											1																							
오버 더 드래곤	10	1	2	110	1	17														10																					2																							
크러쉬 립 어택	1	1	1	1	1404	17								101																											1																							
블러드 베인	9	1	2	111	1	17														10																																												
플라이트풀 윙 오버	21	1	1	1	1304	17	1000							101			22			10																					2																							15
어프레시브 블로우	21	1	1	1	304	17	1000							101			25			10																					2																							2
드래곤 프레즌스	10	1	2	100	303	17														10																					2																							
엘레멘탈 메일스톰	21	1	1	1	1304	17	1000							101			23			10																					2																							
옵리터레이팅 브레스	10	1	2	100	1	17														10																					2																							
