기술 명	기술 설명	스킬레벨	스킬타입		세부스킬타입	나이트클래스전용	아처클래스전용	메이지클래스전용	버서커클래스전용	헌터클래스전용	소서러클래스전용	스워시버클러클래스전용	레인저클래스전용	엘리멘탈리스트클래스전용	슬레이어클래스전용	스카우터클래스전용	서머너클래스전용	시온클래스전용	요구레벨	요구스킬포인트	요구 히로익 포인트	요구 카리스마 포인트	기본 공격포인트	마법 공격포인트	물 공격포인트	공기 공격포인트	땅 공격포인트	불 공격포인트	독 공격포인트	얼음 공격포인트	번개 공격포인트	히로익 공격 포인트		기본 공격%	마법 공격%	물 공격%	공기 공격%	땅 공격%	불 공격%	독 공격%	얼음 공격%	번개 공격%	히로익 공격%			소모생명	소모마나		소모화살	생명감소		시전시간	재시전시간		지속시간	인터벌		시전거리	원형범위	직선범위	직선폭	지속공격	마법 지속공격포인트	물 지속공격포인트	공기 지속공격포인트	땅 지속공격포인트	불 지속공격포인트	독 지속공격포인트	얼음 지속공격포인트	번개 지속공격포인트	히로익 지속공격포인트	지속공격%	마법 지속공격%	물 지속공격%	공기 지속공격%	땅 지속공격%	불 지속공격%	독 지속공격%	얼음 지속공격%	번개 지속공격%	밀림거리	공격반사									내구도 하락량%	영향받는 아이템수	영향 받는 마리수	소환수 레벨 증가	크리티컬 발동 확률	스턴 성공 확률	방패블럭	스턴타임	스턴 생성 간격	크리티컬	스킬사정거리	스킬성공률	공격변환생명	공격변환마나	생명증가포인트	마나증가포인트	1차지공격	2차지공격	3차지공격	어그로돌생명	지속공격간격	마나소모감소	시전시간감소	스킬레벨증가	마나변환생명	데스공격	시간 변경	아이템 부위	비용	업그레이드비용				소환수			추가지속시간	타겟	최대수	최대소환마리수	보너스경험치	보너스겔드	보너스드롭율	피해 흡수율	추가 기본 공격포인트	추가 마법 공격포인트	추가 물 공격포인트	추가 공기 공격포인트	추가 땅 공격포인트	추가 불 공격포인트	추가 독 공격포인트	추가 얼음 공격포인트	추가 번개 공격포인트		추가 기본 공격%	추가 마법 공격%	추가 물 공격%	추가 공기 공격%	추가 땅 공격%	추가 불 공격%	추가 독 공격%	추가 얼음 공격%	추가 번개 공격%		FACTOR_POINT	체력	힘	지식	민첩	카리스마	지혜	이동속도	생명	마나			어그로	최대생명	최대마나		공격속도	사정거리	스킬캐스트	스킬딜레이	공격성공률	근거리회피율	원거리회피율	최소 공격	최소 마법 공격	최소 물 공격	최소 공기 공격	최소 땅 공격	최소 불 공격	최소 독 공격	최소 얼음 공격	최소 번개 공격	최대 공격	최대 마법 공격	최대 물 공격	최대 공기 공격	최대 땅 공격	최대 불 공격	최대 독 공격	최대 얼음 공격	최대 번개 공격	기본 방어	마법 저항	물 저항	공기 저항	땅 저항	불 저항	독 저항	얼음 저항	번개 저항	물리 저항	블럭률	스킬블럭	최소 히로익 공격	최대 히로익 공격	히로익 방어력	근접 히로익 저항력	원거리 히로익 저항력	마법 히로익 저항력	FACTOR_PERCENT	체력	힘	지식	민첩	카리스마	지혜	이동속도	생명	마나			어그로	최대생명	최대마나		공격속도	사정거리	스킬캐스트	스킬딜레이	공격성공률	근거리회피율	원거리회피율	최소 공격	최소 마법 공격	최소 물 공격	최소 공기 공격	최소 땅 공격	최소 불 공격	최소 독 공격	최소 얼음 공격	최소 번개 공격	최대 공격	최대 마법 공격	최대 물 공격	최대 공기 공격	최대 땅 공격	최대 불 공격	최대 독 공격	최대 얼음 공격	최대 번개 공격	기본 방어	마법 저항	물 저항	공기 저항	땅 저항	불 저항	독 저항	얼음 저항	번개 저항	물리 저항	블럭률	스킬블럭	물리 방어력 무시	속성 저항력 무시	크리티컬 저항력	desc
마인드 점퍼	일정시간 동안 속성 공격력 및 물리 공격력 증가	V	V		V												V		V	V																											V					V	V		V																																																																V																																																											V	V	V	V	V	V				V	V	V	V	V	V																																																																														속성공격력증가\n물리공격력증가
월드 룰러	일정시간 동안 마이트테제의 힘을 빌어 자신의 상태 강화	V	V		V												V		V	V																											V					V	V		V																																																																V																																					V	V	V	V		V																																																																																																													상태강화
포스 클로	캐릭터의 물리 공격력을 강화시켜 주는 패시브 스킬	V													V	V	V	V	V	V																																																																																																			V																																																											V									V																																																																																			
윙 오버	캐릭터의 이동속도를 강화시켜 주는 패시브 스킬	V													V	V	V	V	V	V																																																																																																			V																																																																																																						V																																																	
피어싱 투쓰	일정확률로 일반 공격시 크리티컬이 발동하는 패시브 스킬	V													V	V	V	V	V	V																																																																																V		V																	V																																																																																																																																																							
스트롱 마인드	캐릭터의 공격성공률을 증가시켜 주는 패시브 스킬	V													V	V	V	V	V	V																																																																																																			V																																																								V																																																																																															
아이언 스케일	캐릭터의 물리 방어력을 강화시켜 주는 패시브 스킬	V													V	V	V	V	V	V																																																																																																			V																																																																													V																																																																										
드래곤 마이트	캐릭터의 물리 공격력, 속성 공격력을 강화시켜 주는 패시브 스킬	V													V	V	V	V	V	V																																																																																																			V																																																											V	V	V	V	V	V				V	V	V	V	V	V																																																																														
드래곤 윙	캐릭터의 회피율을 강화시켜 주는 패시브 스킬	V													V	V	V	V	V	V																																																																																																			V																																																									V	V																																																																																													
드래곤 헤드	캐릭터의 스킬 블럭률과 블럭률을 강화시켜 주는 패시브 스킬	V													V	V	V	V	V	V																																																																																																			V																																																																																							V	V																																																															
드래곤 멘탈	캐릭터의 속성 저항력과 물리 저항력을 강화시켜 주는 패시브 스킬	V													V	V	V	V	V	V																																																																																																			V																																																																														V	V	V	V	V				V																																																																	
드래곤 블러드	캐릭터의 물리 방어력을 강화시키고 HP량을 늘려주는 패시브 스킬	V													V	V	V	V	V	V																																																																																																			V																																																																													V																															V																																											
성탄방울																																																																																																																																																																																																																																																																														물리공격력증가
성탄양말																																																																																																																																																																																																																																																																														물리방어력증가
루돌프 Lv 1																																																																																																																																																																																																																																																																														펫루돌프\n물리방어력무시\n속성방어력무시확률상승\n모든스탯상승
<소환>루돌프 Lv 1																																																																																																																																																																																																																																																																														
루돌프 Lv 2																																																																																																																																																																																																																																																																														펫루돌프\n치명타방어력상승\n물리방어력무시\n속성방어력무시확률상승\n이동속도및모든스탯상승
<소환>루돌프 Lv 2																																																																																																																																																																																																																																																																														
루돌프 Lv 3																																																																																																																																																																																																																																																																														펫루돌프\n치명타방어력상승\n물리방어력무시\n속성방어력무시확률상승\n이동속도및모든스탯상승
<소환>루돌프 Lv 3																																																																																																																																																																																																																																																																														
루돌프 Lv 4																																																																																																																																																																																																																																																																														펫루돌프\n치명타방어력상승\n물리방어력무시\n속성방어력무시확률상승\n이동속도및모든스탯상승
<소환>루돌프 Lv 4																																																																																																																																																																																																																																																																														
루돌프 Lv 5																																																																																																																																																																																																																																																																														펫루돌프\n치명타방어력상승\n물리방어력무시\n속성방어력무시확률상승\n이동속도및모든스탯상승
<소환>루돌프 Lv 5																																																																																																																																																																																																																																																																														
루돌프 Lv 6																																																																																																																																																																																																																																																																														펫루돌프\n치명타방어력상승\n물리방어력무시\n속성방어력무시확률상승\n이동속도및모든스탯상승
<소환>루돌프 Lv 6																																																																																																																																																																																																																																																																														
루돌프 Lv 7																																																																																																																																																																																																																																																																														펫루돌프\n치명타방어력상승\n물리방어력무시\n속성방어력무시확률상승\n이동속도및모든스탯상승
<소환>루돌프 Lv 7																																																																																																																																																																																																																																																																														
루돌프 Lv 8																																																																																																																																																																																																																																																																														펫루돌프\n치명타방어력상승\n물리방어력무시\n속성방어력무시확률상승\n이동속도및모든스탯상승
<소환>루돌프 Lv 8																																																																																																																																																																																																																																																																														
루돌프 Lv 9																																																																																																																																																																																																																																																																														펫루돌프\n치명타방어력상승\n물리방어력무시\n속성방어력무시확률상승\n이동속도및모든스탯상승
<소환>루돌프 Lv 9																																																																																																																																																																																																																																																																														
루돌프 Lv 10																																																																																																																																																																																																																																																																														펫루돌프\n치명타방어력상승\n물리방어력무시\n속성방어력무시확률상승\n이동속도및모든스탯상승
<소환>루돌프 Lv 10																																																																																																																																																																																																																																																																														
초심자버프물약																																																																																																																																																																																																																																																																														최대생명력5%증가\n추가회피율5%\n스킬블럭율5%증가\n공격속도5%증가\n물리방어력5증가\n이동속도5%증가
각성의부적30																																																																																																																																																																																																																																																																														경험치획득30%증가\n겔드드롭량10%증가
각성의부적50																																																																																																																																																																																																																																																																														경험치획득50%증가\n겔드드롭량10%증가
<영웅 타르타산드라>트위스터																																																																																																																																																																																																																																																																														공기속성지속공격
<영웅 타르타산드라>디스터브																																																																																																																																																																																																																																																																														이동속도감소
<리뮈비르>터치 다운																																																																																																																																																																																																																																																																														물리방어력감소
<루즈루>테이크 오프																																																																																																																																																																																																																																																																														물리공격력감소
최강형2																																																																																																																																																																																																																																																																														물리공격력/방어력/속성공격력/저항력증가\n공격속도/이동속도/블럭률/스킬블럭률증가\nHP/MP증가\n경험치/겔드/드롭율증가
<Event>모든스탯상승																																																																																																																																																																																																																																																																														이벤트어빌리티4일간지속\n모든스탯50증가
<Event>스킬업그레이드																																																																																																																																																																																																																																																																														이벤트어빌리티4일간지속\n스킬1랭크증가
<Event>최대생명증가																																																																																																																																																																																																																																																																														이벤트어빌리티4일간지속\nHP50%증가
<Event>치명타방어력증가																																																																																																																																																																																																																																																																														이벤트어빌리티4일간지속\n치명타방어력20%증가
<Event>보너스경험치증가																																																																																																																																																																																																																																																																														이벤트어빌리티4일간지속\n경험치10%증가
<Event>보너스드롭율증가																																																																																																																																																																																																																																																																														이벤트어빌리티4일간지속\n아이템드롭량30%증가
<Event>보너스겔드량증가																																																																																																																																																																																																																																																																														이벤트어빌리티4일간지속\n드롭겔드량50%증가
<Event>스킬캐스트감소																																																																																																																																																																																																																																																																														이벤트어빌리티4일간지속\n스킬시전시간10%감소
<Event>스킬쿨타임감소																																																																																																																																																																																																																																																																														이벤트어빌리티4일간지속\n스킬쿨타임10%감소
E거인의 물약																																																																																																																																																																																																																																																																														최대생명력40%증가
E회피의 물약																																																																																																																																																																																																																																																																														추가회피율28%\n스킬블럭율20%증가
E신속의 물약																																																																																																																																																																																																																																																																														이동속도25%증가
E광속의 물약																																																																																																																																																																																																																																																																														공격속도20%증가
E방어의 물약																																																																																																																																																																																																																																																																														물리방어력10증가
우수스의 경고																																																																																																																																																																																																																																																																														채팅창에서 채팅금지
멀쿤 Lv 1																																																																																																																																																																																																																																																																														펫멀쿤\n물리방어력무시\n속성방어력무시확률증가\n모든스탯증가
<소환>멀쿤 Lv 1																																																																																																																																																																																																																																																																														
멀쿤 Lv 2																																																																																																																																																																																																																																																																														펫멀쿤\n치명타방어력증가\n물리방어력무시\n속성방어력무시확률증가\n이동속도및모든스탯증가
<소환>멀쿤 Lv 2																																																																																																																																																																																																																																																																														
멀쿤 Lv 3																																																																																																																																																																																																																																																																														펫멀쿤\n치명타방어력증가\n물리방어력무시\n속성방어력무시확률증가\n이동속도및모든스탯증가
<소환>멀쿤 Lv 3																																																																																																																																																																																																																																																																														
멀쿤 Lv 4																																																																																																																																																																																																																																																																														펫멀쿤\n치명타방어력증가\n물리방어력무시\n속성방어력무시확률증가\n이동속도및모든스탯증가
<소환>멀쿤 Lv 4																																																																																																																																																																																																																																																																														
멀쿤 Lv 5																																																																																																																																																																																																																																																																														펫멀쿤\n치명타방어력증가\n물리방어력무시\n속성방어력무시확률증가\n이동속도및모든스탯증가
<소환>멀쿤 Lv 5																																																																																																																																																																																																																																																																														
멀쿤 Lv 6																																																																																																																																																																																																																																																																														펫멀쿤\n치명타방어력증가\n물리방어력무시\n속성방어력무시확률증가\n이동속도및모든스탯증가
<소환>멀쿤 Lv 6																																																																																																																																																																																																																																																																														
멀쿤 Lv 7																																																																																																																																																																																																																																																																														펫멀쿤\n치명타방어력증가\n물리방어력무시\n속성방어력무시확률증가\n이동속도및모든스탯증가
<소환>멀쿤 Lv 7																																																																																																																																																																																																																																																																														
멀쿤 Lv 8																																																																																																																																																																																																																																																																														펫멀쿤\n치명타방어력증가\n물리방어력무시\n속성방어력무시확률증가\n이동속도및모든스탯증가
<소환>멀쿤 Lv 8																																																																																																																																																																																																																																																																														
멀쿤 Lv 9																																																																																																																																																																																																																																																																														펫멀쿤\n치명타방어력증가\n물리방어력무시\n속성방어력무시확률증가\n이동속도및모든스탯증가
<소환>멀쿤 Lv 9																																																																																																																																																																																																																																																																														
멀쿤 Lv 10																																																																																																																																																																																																																																																																														펫멀쿤\n치명타방어력증가\n물리방어력무시\n속성방어력무시확률증가\n이동속도및모든스탯증가
<소환>멀쿤 Lv 10																																																																																																																																																																																																																																																																														
람다 Lv 1																																																																																																																																																																																																																																																																														펫람다\n물리방어력무시\n속성방어력무시확률증가\n모든스탯증가
<소환>람다 Lv 1																																																																																																																																																																																																																																																																														
람다 Lv 2																																																																																																																																																																																																																																																																														펫람다\n치명타방어력증가\n물리방어력무시\n속성방어력무시확률증가\n이동속도및모든스탯증가
<소환>람다 Lv 2																																																																																																																																																																																																																																																																														
람다 Lv 3																																																																																																																																																																																																																																																																														펫람다\n치명타방어력증가\n물리방어력무시\n속성방어력무시확률증가\n이동속도및모든스탯증가
<소환>람다 Lv 3																																																																																																																																																																																																																																																																														
람다 Lv 4																																																																																																																																																																																																																																																																														펫람다\n치명타방어력증가\n물리방어력무시\n속성방어력무시확률증가\n이동속도및모든스탯증가
<소환>람다 Lv 4																																																																																																																																																																																																																																																																														
람다 Lv 5																																																																																																																																																																																																																																																																														펫람다\n치명타방어력증가\n물리방어력무시\n속성방어력무시확률증가\n이동속도및모든스탯증가
<소환>람다 Lv 5																																																																																																																																																																																																																																																																														
람다 Lv 6																																																																																																																																																																																																																																																																														펫람다\n치명타방어력증가\n물리방어력무시\n속성방어력무시확률증가\n이동속도및모든스탯증가
<소환>람다 Lv 6																																																																																																																																																																																																																																																																														
람다 Lv 7																																																																																																																																																																																																																																																																														펫람다\n치명타방어력증가\n물리방어력무시\n속성방어력무시확률증가\n이동속도및모든스탯증가
<소환>람다 Lv 7																																																																																																																																																																																																																																																																														
람다 Lv 8																																																																																																																																																																																																																																																																														펫람다\n치명타방어력증가\n물리방어력무시\n속성방어력무시확률증가\n이동속도및모든스탯증가
<소환>람다 Lv 8																																																																																																																																																																																																																																																																														
람다 Lv 9																																																																																																																																																																																																																																																																														펫람다\n치명타방어력증가\n물리방어력무시\n속성방어력무시확률증가\n이동속도및모든스탯증가
<소환>람다 Lv 9																																																																																																																																																																																																																																																																														
람다 Lv 10																																																																																																																																																																																																																																																																														펫람다\n치명타방어력증가\n물리방어력무시\n속성방어력무시확률증가\n이동속도및모든스탯증가
<소환>람다 Lv 10																																																																																																																																																																																																																																																																														
아브라햐 Lv 1																																																																																																																																																																																																																																																																														펫아브라햐\n물리방어력무시\n속성방어력무시확률증가\n모든스탯증가
<소환>아브라햐 Lv 1																																																																																																																																																																																																																																																																														
아브라햐 Lv 2																																																																																																																																																																																																																																																																														펫아브라햐\n치명타방어력증가\n물리방어력무시\n속성방어력무시확률증가\n이동속도및모든스탯증가
<소환>아브라햐 Lv 2																																																																																																																																																																																																																																																																														
아브라햐 Lv 3																																																																																																																																																																																																																																																																														펫아브라햐\n치명타방어력증가\n물리방어력무시\n속성방어력무시확률증가\n이동속도및모든스탯증가
<소환>아브라햐 Lv 3																																																																																																																																																																																																																																																																														
아브라햐 Lv 4																																																																																																																																																																																																																																																																														펫아브라햐\n치명타방어력증가\n물리방어력무시\n속성방어력무시확률증가\n이동속도및모든스탯증가
<소환>아브라햐 Lv 4																																																																																																																																																																																																																																																																														
아브라햐 Lv 5																																																																																																																																																																																																																																																																														펫아브라햐\n치명타방어력증가\n물리방어력무시\n속성방어력무시확률증가\n이동속도및모든스탯증가
<소환>아브라햐 Lv 5																																																																																																																																																																																																																																																																														
아브라햐 Lv 6																																																																																																																																																																																																																																																																														펫아브라햐\n치명타방어력증가\n물리방어력무시\n속성방어력무시확률증가\n이동속도및모든스탯증가
<소환>아브라햐 Lv 6																																																																																																																																																																																																																																																																														
아브라햐 Lv 7																																																																																																																																																																																																																																																																														펫아브라햐\n치명타방어력증가\n물리방어력무시\n속성방어력무시확률증가\n이동속도및모든스탯증가
<소환>아브라햐 Lv 7																																																																																																																																																																																																																																																																														
아브라햐 Lv 8																																																																																																																																																																																																																																																																														펫아브라햐\n치명타방어력증가\n물리방어력무시\n속성방어력무시확률증가\n이동속도및모든스탯증가
<소환>아브라햐 Lv 8																																																																																																																																																																																																																																																																														
아브라햐 Lv 9																																																																																																																																																																																																																																																																														펫아브라햐\n치명타방어력증가\n물리방어력무시\n속성방어력무시확률증가\n이동속도및모든스탯증가
<소환>아브라햐 Lv 9																																																																																																																																																																																																																																																																														
아브라햐 Lv 10																																																																																																																																																																																																																																																																														펫아브라햐\n치명타방어력증가\n물리방어력무시\n속성방어력무시확률증가\n이동속도및모든스탯증가
<소환>아브라햐 Lv 10																																																																																																																																																																																																																																																																														
각성의부적100																																																																																																																																																																																																																																																																														경험치100%증가
각성의부적50p																																																																																																																																																																																																																																																																														경험치50%증가
각성의부적20																																																																																																																																																																																																																																																																														경험치20%증가
우수스의 경고<1일>																																																																																																																																																																																																																																																																														채팅창에서 채팅금지
우수스의 경고<7일>																																																																																																																																																																																																																																																																														채팅창에서 채팅금지
우수스의 경고<30일>																																																																																																																																																																																																																																																																														채팅창에서 채팅금지
아슈탈의 잔재																																																																																																																																																																																																																																																																														아슈탈의 잔재\n공격력증가\n방어력증가
<MOB><불꽃의기사>스킨터치																																																																																																																																																																																																																																																																														물리공격력감소
<MOB><불꽃의사냥꾼>디스터브																																																																																																																																																																																																																																																																														이동속도감소
<MOB><불꽃의마법사>프리징 소울																																																																																																																																																																																																																																																																														스킬캐스팅증가\n공격속도감소
<MOB><불꽃의약탈자>스킬01																																																																																																																																																																																																																																																																														불속성지속피해
<MOB><불꽃의착취자>스킬01																																																																																																																																																																																																																																																																														모든스탯감소
